pos,name,event_id,wca_id,average_seconds
2,Bofan Zhang (张博藩),333,2021ZHAN01,5.62
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.78
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.56
2,Bofan Zhang (张博藩),333,2021ZHAN01,5.72
2,Bofan Zhang (张博藩),333,2021ZHAN01,6.06
3,Bofan Zhang (张博藩),333,2021ZHAN01,6.01
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.97
2,Bofan Zhang (张博藩),333,2021ZHAN01,5.74
1,Bofan Zhang (张博藩),333,2021ZHAN01,5.25
1,Bofan Zhang (张博藩),333,2021ZHAN01,5.16
7,Bofan Zhang (张博藩),333,2021ZHAN01,6.5
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.8
2,Bofan Zhang (张博藩),333,2021ZHAN01,5.87
2,Bofan Zhang (张博藩),333,2021ZHAN01,5.59
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.96
2,Bofan Zhang (张博藩),333,2021ZHAN01,5.71
1,Bofan Zhang (张博藩),333,2021ZHAN01,5.4
5,Bofan Zhang (张博藩),333,2021ZHAN01,5.59
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.93
6,Bofan Zhang (张博藩),333,2021ZHAN01,6.09
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.83
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.7
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.51
9,Bofan Zhang (张博藩),333,2021ZHAN01,5.96
30,Bofan Zhang (张博藩),333,2021ZHAN01,7.32
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.74
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.41
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.51
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.63
6,Bofan Zhang (张博藩),333,2021ZHAN01,5.85
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.54
7,Bofan Zhang (张博藩),333,2021ZHAN01,6.84
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.95
1,Bofan Zhang (张博藩),333,2021ZHAN01,7.12
1,Bofan Zhang (张博藩),333,2021ZHAN01,5.56
1,Bofan Zhang (张博藩),333,2021ZHAN01,5.72
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.2
4,Bofan Zhang (张博藩),333,2021ZHAN01,6.09
5,Bofan Zhang (张博藩),333,2021ZHAN01,6.04
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.36
5,Bofan Zhang (张博藩),333,2021ZHAN01,5.56
5,Bofan Zhang (张博藩),333,2021ZHAN01,5.95
8,Bofan Zhang (张博藩),333,2021ZHAN01,5.98
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.58
4,Bofan Zhang (张博藩),333,2021ZHAN01,5.38
7,Bofan Zhang (张博藩),333,2021ZHAN01,6.11
7,Bofan Zhang (张博藩),333,2021ZHAN01,6.11
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.28
6,Bofan Zhang (张博藩),333,2021ZHAN01,5.85
3,Bofan Zhang (张博藩),333,2021ZHAN01,5.69
3,Bofan Zhang (张博藩),333,2021ZHAN01,4.98
5,Bofan Zhang (张博藩),333,2021ZHAN01,5.84
2,Luke Garrett,333,2017GARR05,6.59
1,Luke Garrett,333,2017GARR05,6.08
1,Luke Garrett,333,2017GARR05,5.34
1,Luke Garrett,333,2017GARR05,5.93
1,Luke Garrett,333,2017GARR05,6.07
1,Luke Garrett,333,2017GARR05,5.95
1,Luke Garrett,333,2017GARR05,5.68
1,Luke Garrett,333,2017GARR05,6.24
1,Luke Garrett,333,2017GARR05,5.65
2,Luke Garrett,333,2017GARR05,6.87
