id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5614352,2,816220,538,659,Luke Garrett,US,MilwaukeeCubingMania2024,333,1,a,2017GARR05,"[652, 606, 720, 538, -1]",3,4,,,Milwaukee Cubing Mania 2024,2024-01-06,5.38,6.59
5614459,1,816221,549,608,Luke Garrett,US,MilwaukeeCubingMania2024,333,2,a,2017GARR05,"[549, 601, 615, 632, 608]",0,3,,,Milwaukee Cubing Mania 2024,2024-01-06,5.49,6.08
5614512,1,816222,471,534,Luke Garrett,US,MilwaukeeCubingMania2024,333,f,a,2017GARR05,"[493, 471, 525, 583, 693]",1,4,,,Milwaukee Cubing Mania 2024,2024-01-06,4.71,5.34
5614532,6,816223,110,241,Luke Garrett,US,MilwaukeeCubingMania2024,222,1,a,2017GARR05,"[329, 251, -1, 110, 142]",3,2,,,Milwaukee Cubing Mania 2024,2024-01-06,1.1,2.41
5614627,1,816224,93,126,Luke Garrett,US,MilwaukeeCubingMania2024,222,f,a,2017GARR05,"[172, 153, 107, 93, 118]",3,0,,,Milwaukee Cubing Mania 2024,2024-01-06,0.93,1.26
5614643,1,816226,2422,2589,Luke Garrett,US,MilwaukeeCubingMania2024,444,d,a,2017GARR05,"[2820, 2507, 3444, 2422, 2440]",3,2,,,Milwaukee Cubing Mania 2024,2024-01-06,24.22,25.89
5614719,3,816227,2758,2869,Luke Garrett,US,MilwaukeeCubingMania2024,444,f,a,2017GARR05,"[2776, 2758, 2851, -1, 2979]",1,3,,,Milwaukee Cubing Mania 2024,2024-01-06,27.58,28.69
5614733,1,816228,5232,5485,Luke Garrett,US,MilwaukeeCubingMania2024,555,c,a,2017GARR05,"[5232, 5262, 6327, 5470, 5722]",0,2,,,Milwaukee Cubing Mania 2024,2024-01-06,52.32,54.85
5614792,2,816229,8658,9549,Luke Garrett,US,MilwaukeeCubingMania2024,666,c,m,2017GARR05,"[9980, 8658, 10009, 0, 0]",1,2,,,Milwaukee Cubing Mania 2024,2024-01-06,86.58,95.49
5614837,2,816230,13932,15597,Luke Garrett,US,MilwaukeeCubingMania2024,777,c,m,2017GARR05,"[17182, 13932, 15678, 0, 0]",1,0,,,Milwaukee Cubing Mania 2024,2024-01-06,139.32,155.97
5614880,5,816231,4482,5611,Luke Garrett,US,MilwaukeeCubingMania2024,333bf,1,3,2017GARR05,"[5295, 7056, 4482, 0, 0]",2,1,,,Milwaukee Cubing Mania 2024,2024-01-06,44.82,56.11
5614915,4,816232,4934,-1,Luke Garrett,US,MilwaukeeCubingMania2024,333bf,f,3,2017GARR05,"[5778, -1, 4934, 0, 0]",2,1,,,Milwaukee Cubing Mania 2024,2024-01-06,49.34,
