id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5632136,1,819537,435,533,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,333,1,a,2016INAB01,"[477, 670, 435, 663, 460]",2,1,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,4.35,5.33
5632265,1,819538,434,560,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,333,2,a,2016INAB01,"[434, 709, 556, 519, 605]",0,1,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,4.34,5.6
5632352,1,819539,460,541,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,333,f,a,2016INAB01,"[517, 602, 460, 516, 591]",2,1,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,4.6,5.41
5632376,9,819540,250,315,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,222,1,a,2016INAB01,"[413, 396, 283, 266, 250]",4,0,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,2.5,3.15
5632463,4,819541,176,256,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,222,f,a,2016INAB01,"[352, 273, 193, 176, 303]",3,0,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,1.76,2.56
5632472,1,819542,8008,9023,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,666,c,m,2016INAB01,"[9488, 8008, 9572, 0, 0]",1,2,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,80.08,90.23
5632505,2,819543,13822,14541,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,777,c,m,2016INAB01,"[14220, 13822, 15581, 0, 0]",1,2,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,138.22,145.41
5632573,2,820838,1127,1305,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,333oh,d,a,2016INAB01,"[1565, 1243, 1127, 1455, 1216]",2,0,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,11.27,13.05
5632650,2,820839,987,1171,Matty Hiroto Inaba,US,BayAreaSpeedcubin55SanRamon2024,333oh,f,a,2016INAB01,"[1207, 1276, 1192, 987, 1115]",3,1,,,Bay Area Speedcubin' 55 - San Ramon 2024,2024-01-14,9.87,11.71
5662924,2,823123,554,608,Matty Hiroto Inaba,US,HonoluluLiiliiaIkeMaka2024,333,1,a,2016INAB01,"[647, 596, 648, 554, 582]",3,2,,,Honolulu Liʻiliʻi a ʻIke Maka 2024,2024-01-27,5.54,6.08
5662994,1,823124,405,589,Matty Hiroto Inaba,US,HonoluluLiiliiaIkeMaka2024,333,2,a,2016INAB01,"[681, 588, 630, 549, 405]",4,0,,,Honolulu Liʻiliʻi a ʻIke Maka 2024,2024-01-27,4.05,5.89
5663047,1,823125,522,586,Matty Hiroto Inaba,US,HonoluluLiiliiaIkeMaka2024,333,f,a,2016INAB01,"[580, 604, 574, 522, 612]",3,4,,,Honolulu Liʻiliʻi a ʻIke Maka 2024,2024-01-27,5.22,5.86
