id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5620113,1,823348,489,592,Max Park,US,UCSDWinter2024,333,1,a,2012PARK03,"[612, 489, 550, 614, 714]",1,4,,,UCSD Winter 2024,2024-01-07,4.89,5.92
5620280,1,823349,517,551,Max Park,US,UCSDWinter2024,333,2,a,2012PARK03,"[545, 579, 517, 535, 574]",2,1,,,UCSD Winter 2024,2024-01-07,5.17,5.51
5620397,1,823350,481,528,Max Park,US,UCSDWinter2024,333,f,a,2012PARK03,"[481, 553, 483, 549, 587]",0,4,,,UCSD Winter 2024,2024-01-07,4.81,5.28
5620559,1,828741,1951,2072,Max Park,US,UCSDWinter2024,444,d,a,2012PARK03,"[2109, 1970, 2277, 2138, 1951]",4,2,,,UCSD Winter 2024,2024-01-07,19.51,20.72
5620658,1,828742,1970,2226,Max Park,US,UCSDWinter2024,444,f,a,2012PARK03,"[2190, 1970, 2275, 2441, 2214]",1,3,,,UCSD Winter 2024,2024-01-07,19.7,22.26
5620670,1,828743,6554,6782,Max Park,US,UCSDWinter2024,666,c,m,2012PARK03,"[7072, 6554, 6721, 0, 0]",1,0,,,UCSD Winter 2024,2024-01-07,65.54,67.82
5620714,1,823351,833,928,Max Park,US,UCSDWinter2024,333oh,d,a,2012PARK03,"[915, 967, 903, 1122, 833]",4,3,,,UCSD Winter 2024,2024-01-07,8.33,9.28
5620810,1,823352,854,890,Max Park,US,UCSDWinter2024,333oh,f,a,2012PARK03,"[854, 874, 934, 988, 862]",0,3,,,UCSD Winter 2024,2024-01-07,8.54,8.9
5666642,1,820187,488,568,Max Park,US,UniHeightsCubingWinter2024,333,1,a,2012PARK03,"[501, 488, 686, 518, 706]",1,4,,,University Heights Cubing Winter 2024,2024-01-27,4.88,5.68
5666740,1,833595,523,568,Max Park,US,UniHeightsCubingWinter2024,333,2,a,2012PARK03,"[523, 599, 550, 554, 605]",0,4,,,University Heights Cubing Winter 2024,2024-01-27,5.23,5.68
5666812,1,833596,526,657,Max Park,US,UniHeightsCubingWinter2024,333,f,a,2012PARK03,"[679, 526, 721, 855, 572]",1,3,,,University Heights Cubing Winter 2024,2024-01-27,5.26,6.57
5666975,1,833599,10171,10484,Max Park,US,UniHeightsCubingWinter2024,777,d,m,2012PARK03,"[10611, 10669, 10171, 0, 0]",2,1,,,University Heights Cubing Winter 2024,2024-01-27,101.71,104.84
5667010,1,833600,10069,10178,Max Park,US,UniHeightsCubingWinter2024,777,f,m,2012PARK03,"[10102, 10069, 10363, 0, 0]",1,2,,WR,University Heights Cubing Winter 2024,2024-01-27,100.69,101.78
5697649,1,833410,508,592,Max Park,US,USCCubing2024,333,1,a,2012PARK03,"[596, 508, 567, 613, 641]",1,4,,,USC Cubing 2024,2024-02-03,5.08,5.92
5697831,1,833411,504,567,Max Park,US,USCCubing2024,333,2,a,2012PARK03,"[565, 639, 506, 504, 631]",3,1,,,USC Cubing 2024,2024-02-03,5.04,5.67
5697906,1,833412,498,584,Max Park,US,USCCubing2024,333,f,a,2012PARK03,"[514, 498, 608, 629, 668]",1,4,,,USC Cubing 2024,2024-02-03,4.98,5.84
