id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5859149,6,838516,509,739,Ruihang Xu (许瑞航),CN,HuzhouOpen2024,333,1,a,2017XURU04,"[604, 1077, -1, 509, 535]",3,2,,,Huzhou Open 2024,2024-03-30,5.09,7.39
5859323,1,838517,452,484,Ruihang Xu (许瑞航),CN,HuzhouOpen2024,333,2,a,2017XURU04,"[465, 520, 593, 452, 467]",3,2,,,Huzhou Open 2024,2024-03-30,4.52,4.84
5859413,1,838518,409,574,Ruihang Xu (许瑞航),CN,HuzhouOpen2024,333,f,a,2017XURU04,"[592, 409, 669, 535, 596]",1,2,,,Huzhou Open 2024,2024-03-30,4.09,5.74
5859431,1,838519,2177,2359,Ruihang Xu (许瑞航),CN,HuzhouOpen2024,444,d,a,2017XURU04,"[2228, 2483, 2511, 2177, 2365]",3,2,,,Huzhou Open 2024,2024-03-30,21.77,23.59
5859559,1,838520,1990,2282,Ruihang Xu (许瑞航),CN,HuzhouOpen2024,444,f,a,2017XURU04,"[1990, 2447, 2374, 2053, 2420]",0,1,,NR,Huzhou Open 2024,2024-03-30,19.9,22.82
5859578,2,838521,4380,4805,Ruihang Xu (许瑞航),CN,HuzhouOpen2024,555,c,a,2017XURU04,"[5104, 4380, 4774, 4537, 5489]",1,4,,,Huzhou Open 2024,2024-03-30,43.8,48.05
6212256,3,855976,530,585,Ruihang Xu (许瑞航),CN,ChengduSummer2024,333,1,a,2017XURU04,"[600, 530, 584, 575, 595]",1,0,,,Chengdu Summer 2024,2024-07-20,5.3,5.85
6212451,2,855977,461,541,Ruihang Xu (许瑞航),CN,ChengduSummer2024,333,2,a,2017XURU04,"[671, 540, 575, 461, 508]",3,0,,,Chengdu Summer 2024,2024-07-20,4.61,5.41
6212530,1,855978,542,554,Ruihang Xu (许瑞航),CN,ChengduSummer2024,333,f,a,2017XURU04,"[547, 542, 546, 724, 569]",1,3,,,Chengdu Summer 2024,2024-07-20,5.42,5.54
6212551,3,855979,139,161,Ruihang Xu (许瑞航),CN,ChengduSummer2024,222,d,a,2017XURU04,"[186, 139, 181, 160, 142]",1,0,,,Chengdu Summer 2024,2024-07-20,1.39,1.61
6212686,4,855980,133,172,Ruihang Xu (许瑞航),CN,ChengduSummer2024,222,2,a,2017XURU04,"[229, 169, 133, 150, 198]",2,0,,,Chengdu Summer 2024,2024-07-20,1.33,1.72
6212743,1,855981,137,157,Ruihang Xu (许瑞航),CN,ChengduSummer2024,222,f,a,2017XURU04,"[161, 150, 224, 137, 160]",3,2,,,Chengdu Summer 2024,2024-07-20,1.37,1.57
6212759,1,855982,2201,2322,Ruihang Xu (许瑞航),CN,ChengduSummer2024,444,d,a,2017XURU04,"[2330, 2358, 2278, 2201, 2633]",3,4,,,Chengdu Summer 2024,2024-07-20,22.01,23.22
6212849,1,855983,2169,2282,Ruihang Xu (许瑞航),CN,ChengduSummer2024,444,f,a,2017XURU04,"[2238, 2406, 2169, 2202, 2804]",2,4,,NR,Chengdu Summer 2024,2024-07-20,21.69,22.82
6212865,1,855984,766,952,Ruihang Xu (许瑞航),CN,ChengduSummer2024,333oh,d,a,2017XURU04,"[962, 968, 926, 766, 1096]",3,4,,,Chengdu Summer 2024,2024-07-20,7.66,9.52
6212955,1,855985,899,982,Ruihang Xu (许瑞航),CN,ChengduSummer2024,333oh,f,a,2017XURU04,"[899, 1088, 962, 1016, 969]",0,1,,,Chengdu Summer 2024,2024-07-20,8.99,9.82
6212975,5,855988,4064,4405,Ruihang Xu (许瑞航),CN,ChengduSummer2024,minx,d,a,2017XURU04,"[4560, 4065, 4589, 4064, 5180]",3,4,,,Chengdu Summer 2024,2024-07-20,40.64,44.05
