id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5643214,3,833282,537,792,Teodor Zajder,PL,GLSI2024,333,1,a,2021ZAJD03,"[925, 684, 537, 863, 830]",2,0,,,GLS I 2024,2024-01-20,5.37,7.92
5643339,3,833283,639,825,Teodor Zajder,PL,GLSI2024,333,2,a,2021ZAJD03,"[690, 639, 882, 902, 928]",1,4,,,GLS I 2024,2024-01-20,6.39,8.25
5643432,3,833284,680,779,Teodor Zajder,PL,GLSI2024,333,f,a,2021ZAJD03,"[851, 766, 719, 1018, 680]",4,3,,,GLS I 2024,2024-01-20,6.8,7.79
5643440,1,833285,125,144,Teodor Zajder,PL,GLSI2024,222,1,a,2021ZAJD03,"[148, 203, 135, 149, 125]",4,1,,,GLS I 2024,2024-01-20,1.25,1.44
5643540,3,833286,100,158,Teodor Zajder,PL,GLSI2024,222,f,a,2021ZAJD03,"[-1, 100, 161, 191, 122]",1,0,,,GLS I 2024,2024-01-20,1.0,1.58
5643558,7,833287,3311,3895,Teodor Zajder,PL,GLSI2024,444,d,a,2021ZAJD03,"[4406, 3879, 3735, 3311, 4072]",3,0,,,GLS I 2024,2024-01-20,33.11,38.95
5643638,11,833288,3286,4184,Teodor Zajder,PL,GLSI2024,444,f,a,2021ZAJD03,"[4858, 3286, 3679, 4281, 4592]",1,0,,,GLS I 2024,2024-01-20,32.86,41.84
5643647,6,833291,196,361,Teodor Zajder,PL,GLSI2024,pyram,1,a,2021ZAJD03,"[453, 353, 418, 311, 196]",4,0,,,GLS I 2024,2024-01-20,1.96,3.61
5643741,5,833292,215,324,Teodor Zajder,PL,GLSI2024,pyram,f,a,2021ZAJD03,"[407, 215, 382, 308, 282]",1,0,,,GLS I 2024,2024-01-20,2.15,3.24
5643767,17,833289,708,827,Teodor Zajder,PL,GLSI2024,clock,d,a,2021ZAJD03,"[853, 708, 824, -1, 803]",1,3,,,GLS I 2024,2024-01-20,7.08,8.27
5643843,9,833293,166,421,Teodor Zajder,PL,GLSI2024,skewb,1,a,2021ZAJD03,"[398, 1160, 483, 166, 381]",3,1,,,GLS I 2024,2024-01-20,1.66,4.21
5643919,5,833294,290,421,Teodor Zajder,PL,GLSI2024,skewb,f,a,2021ZAJD03,"[346, 514, 290, 476, 442]",2,1,,,GLS I 2024,2024-01-20,2.9,4.21
