id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5610306,1,822436,504,577,Tymon Kolasiński,PL,CubingatTheCube2024,333,1,a,2016KOLA02,"[730, 599, 620, 511, 504]",4,0,,,Cubing at The Cube 2024,2024-01-06,5.04,5.77
5610486,1,822437,392,510,Tymon Kolasiński,PL,CubingatTheCube2024,333,2,a,2016KOLA02,"[604, 392, 535, 421, 574]",1,0,,,Cubing at The Cube 2024,2024-01-06,3.92,5.1
5610614,1,822438,472,510,Tymon Kolasiński,PL,CubingatTheCube2024,333,3,a,2016KOLA02,"[571, 501, 472, 485, 544]",2,0,,,Cubing at The Cube 2024,2024-01-06,4.72,5.1
5610675,1,822452,526,580,Tymon Kolasiński,PL,CubingatTheCube2024,333,f,a,2016KOLA02,"[593, 581, 648, 566, 526]",4,2,,,Cubing at The Cube 2024,2024-01-06,5.26,5.8
5610691,1,822439,1943,2331,Tymon Kolasiński,PL,CubingatTheCube2024,444,d,a,2016KOLA02,"[1943, 2345, 2413, 2234, 2815]",0,4,,,Cubing at The Cube 2024,2024-01-06,19.43,23.31
5610795,1,822440,2281,2436,Tymon Kolasiński,PL,CubingatTheCube2024,444,f,a,2016KOLA02,"[2281, 2455, 2282, 2572, 2732]",0,4,,,Cubing at The Cube 2024,2024-01-06,22.81,24.36
5610811,1,822441,3581,3967,Tymon Kolasiński,PL,CubingatTheCube2024,555,d,a,2016KOLA02,"[4466, 4127, 3581, 4100, 3675]",2,0,,,Cubing at The Cube 2024,2024-01-06,35.81,39.67
5610900,1,822453,3544,4072,Tymon Kolasiński,PL,CubingatTheCube2024,555,f,a,2016KOLA02,"[4408, 4370, 3733, 3544, 4114]",3,0,,,Cubing at The Cube 2024,2024-01-06,35.44,40.72
5610912,1,822442,7922,8169,Tymon Kolasiński,PL,CubingatTheCube2024,666,c,m,2016KOLA02,"[7922, 8060, 8524, 0, 0]",0,2,,,Cubing at The Cube 2024,2024-01-06,79.22,81.69
5633407,1,813860,429,556,Tymon Kolasiński,PL,TassieSummer2024,333,1,a,2016KOLA02,"[429, 487, 489, 693, 728]",0,4,,,Tassie Summer 2024,2024-01-13,4.29,5.56
5633469,1,813861,483,530,Tymon Kolasiński,PL,TassieSummer2024,333,2,a,2016KOLA02,"[510, 483, 570, 624, 510]",1,3,,,Tassie Summer 2024,2024-01-13,4.83,5.3
5633514,1,813862,532,553,Tymon Kolasiński,PL,TassieSummer2024,333,f,a,2016KOLA02,"[539, 584, 776, 537, 532]",4,2,,,Tassie Summer 2024,2024-01-13,5.32,5.53
5633642,1,814016,2109,2275,Tymon Kolasiński,PL,TassieSummer2024,444,c,a,2016KOLA02,"[2585, 2262, 2284, 2109, 2278]",3,0,,,Tassie Summer 2024,2024-01-13,21.09,22.75
5655029,1,813809,471,551,Tymon Kolasiński,PL,MelbourneSummer2024,333,1,a,2016KOLA02,"[539, 471, 627, 863, 488]",1,3,,,Melbourne Summer 2024,2024-01-19,4.71,5.51
5655400,1,813810,367,528,Tymon Kolasiński,PL,MelbourneSummer2024,333,2,a,2016KOLA02,"[367, 463, 561, 689, 559]",0,3,ER,,Melbourne Summer 2024,2024-01-19,3.67,5.28
5655630,1,813811,488,573,Tymon Kolasiński,PL,MelbourneSummer2024,333,3,a,2016KOLA02,"[626, 651, 545, 547, 488]",4,1,,,Melbourne Summer 2024,2024-01-19,4.88,5.73
5655710,1,813812,534,581,Tymon Kolasiński,PL,MelbourneSummer2024,333,f,a,2016KOLA02,"[546, 534, 603, 593, 697]",1,4,,,Melbourne Summer 2024,2024-01-19,5.34,5.81
5656210,1,813817,1783,2301,Tymon Kolasiński,PL,MelbourneSummer2024,444,d,a,2016KOLA02,"[2132, 1783, 2122, 2649, 2783]",1,4,NR,,Melbourne Summer 2024,2024-01-19,17.83,23.01
5656451,1,813818,1942,2174,Tymon Kolasiński,PL,MelbourneSummer2024,444,f,a,2016KOLA02,"[1984, 1942, 2241, 2692, 2296]",1,3,,,Melbourne Summer 2024,2024-01-19,19.42,21.74
