id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5768270,3,838487,521,563,Xuanyi Geng (耿暄一),CN,HangzhouSpring2024,333,1,a,2023GENG02,"[562, 558, 569, 521, 630]",3,4,,,Hangzhou Spring 2024,2024-03-02,5.21,5.63
5768418,2,838488,532,552,Xuanyi Geng (耿暄一),CN,HangzhouSpring2024,333,2,a,2023GENG02,"[567, 599, 532, 539, 551]",2,1,,,Hangzhou Spring 2024,2024-03-02,5.32,5.52
5768500,4,838489,464,563,Xuanyi Geng (耿暄一),CN,HangzhouSpring2024,333,f,a,2023GENG02,"[589, 522, 464, 592, 577]",2,3,,,Hangzhou Spring 2024,2024-03-02,4.64,5.63
5796596,2,839200,493,554,Xuanyi Geng (耿暄一),CN,LuoyangSpring2024,333,1,a,2023GENG02,"[625, 502, 618, 542, 493]",4,0,,,Luoyang Spring 2024,2024-03-10,4.93,5.54
5796785,3,839201,514,593,Xuanyi Geng (耿暄一),CN,LuoyangSpring2024,333,2,a,2023GENG02,"[603, 601, 514, 681, 574]",2,3,,,Luoyang Spring 2024,2024-03-10,5.14,5.93
5796864,3,839202,522,621,Xuanyi Geng (耿暄一),CN,LuoyangSpring2024,333,f,a,2023GENG02,"[522, 702, 637, 656, 570]",0,1,,,Luoyang Spring 2024,2024-03-10,5.22,6.21
5854690,3,839235,493,570,Xuanyi Geng (耿暄一),CN,XuzhouOpen2024,333,1,a,2023GENG02,"[502, 493, 663, 593, 615]",1,2,,,Xuzhou Open 2024,2024-03-30,4.93,5.7
5854870,1,839236,460,535,Xuanyi Geng (耿暄一),CN,XuzhouOpen2024,333,2,a,2023GENG02,"[507, 557, 460, 626, 541]",2,3,,,Xuzhou Open 2024,2024-03-30,4.6,5.35
5854951,2,839237,487,567,Xuanyi Geng (耿暄一),CN,XuzhouOpen2024,333,f,a,2023GENG02,"[487, 591, 696, 600, 510]",0,2,,,Xuzhou Open 2024,2024-03-30,4.87,5.67
5861578,1,843793,422,514,Xuanyi Geng (耿暄一),CN,XianCherryBlossom2024,333,1,a,2023GENG02,"[548, 497, 580, 422, 496]",3,2,,,Xi'an Cherry Blossom 2024,2024-04-05,4.22,5.14
5861767,1,843794,494,538,Xuanyi Geng (耿暄一),CN,XianCherryBlossom2024,333,2,a,2023GENG02,"[568, 494, 592, 538, 507]",1,2,,,Xi'an Cherry Blossom 2024,2024-04-05,4.94,5.38
5861846,1,843795,502,548,Xuanyi Geng (耿暄一),CN,XianCherryBlossom2024,333,f,a,2023GENG02,"[564, 532, 725, 502, 549]",3,2,,,Xi'an Cherry Blossom 2024,2024-04-05,5.02,5.48
5898107,2,845167,538,597,Xuanyi Geng (耿暄一),CN,KunshanOpen2024,333,2,a,2023GENG02,"[565, 538, 700, 625, 600]",1,2,,,Kunshan Open 2024,2024-04-14,5.38,5.97
5898187,2,845168,528,529,Xuanyi Geng (耿暄一),CN,KunshanOpen2024,333,f,a,2023GENG02,"[548, 528, 531, 528, 528]",1,0,,,Kunshan Open 2024,2024-04-14,5.28,5.29
5897925,2,845166,518,560,Xuanyi Geng (耿暄一),CN,KunshanOpen2024,333,1,a,2023GENG02,"[587, 534, 560, 518, 651]",3,4,,,Kunshan Open 2024,2024-04-14,5.18,5.6
5926428,1,841589,514,535,Xuanyi Geng (耿暄一),CN,NanchangSpring2024,333,1,a,2023GENG02,"[631, 533, 543, 514, 530]",3,0,,,Nanchang Spring 2024,2024-04-21,5.14,5.35
5926560,3,841590,528,585,Xuanyi Geng (耿暄一),CN,NanchangSpring2024,333,2,a,2023GENG02,"[593, 579, 877, 582, 528]",4,2,,,Nanchang Spring 2024,2024-04-21,5.28,5.85
5926620,3,841591,458,577,Xuanyi Geng (耿暄一),CN,NanchangSpring2024,333,f,a,2023GENG02,"[588, 458, 621, 560, 584]",1,2,,,Nanchang Spring 2024,2024-04-21,4.58,5.77
6009134,3,848034,491,550,Xuanyi Geng (耿暄一),CN,ZiboOpen2024,333,1,a,2023GENG02,"[614, 506, 530, 619, 491]",4,3,,,Zibo Open 2024,2024-05-19,4.91,5.5
6009265,2,848035,516,543,Xuanyi Geng (耿暄一),CN,ZiboOpen2024,333,2,a,2023GENG02,"[517, 667, 541, 516, 572]",3,1,,,Zibo Open 2024,2024-05-19,5.16,5.43
