id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5680001,1,833508,467,528,Yiheng Wang (王艺衡),CN,FushunOpen2024,333,1,a,2019WANY36,"[493, 558, 1164, 467, 532]",3,2,,,Fushun Open 2024,2024-01-28,4.67,5.28
5680144,1,833509,442,487,Yiheng Wang (王艺衡),CN,FushunOpen2024,333,2,a,2019WANY36,"[463, 698, 442, 545, 453]",2,1,,,Fushun Open 2024,2024-01-28,4.42,4.87
5680204,1,833510,407,506,Yiheng Wang (王艺衡),CN,FushunOpen2024,333,f,a,2019WANY36,"[466, 499, 407, 553, 590]",2,4,,,Fushun Open 2024,2024-01-28,4.07,5.06
5680224,1,833511,113,139,Yiheng Wang (王艺衡),CN,FushunOpen2024,222,d,a,2019WANY36,"[152, 113, 120, 146, 312]",1,4,,,Fushun Open 2024,2024-01-28,1.13,1.39
5680335,1,833512,76,110,Yiheng Wang (王艺衡),CN,FushunOpen2024,222,f,a,2019WANY36,"[115, 122, 264, 93, 76]",4,2,,,Fushun Open 2024,2024-01-28,0.76,1.1
5680369,15,833513,3814,3881,Yiheng Wang (王艺衡),CN,FushunOpen2024,444,c,a,2019WANY36,"[4105, 3944, 3814, 3821, 3878]",2,0,,,Fushun Open 2024,2024-01-28,38.14,38.81
5680451,23,833514,8978,9398,Yiheng Wang (王艺衡),CN,FushunOpen2024,555,c,a,2019WANY36,"[9537, 8978, 9060, 9598, 16175]",1,4,,,Fushun Open 2024,2024-01-28,89.78,93.98
5680485,14,833515,1659,2001,Yiheng Wang (王艺衡),CN,FushunOpen2024,333oh,c,a,2019WANY36,"[1659, 1959, 1919, 2124, 2143]",0,4,,,Fushun Open 2024,2024-01-28,16.59,20.01
5685399,15,804086,455,498,Yiheng Wang (王艺衡),CN,MYHMSingaporeChampionship2024,skewb,2,a,2019WANY36,"[455, 538, 890, 492, 463]",0,2,,,MYHM Singapore Championship 2024,2024-02-02,4.55,4.98
5685215,3,804084,241,328,Yiheng Wang (王艺衡),CN,MYHMSingaporeChampionship2024,pyram,f,a,2019WANY36,"[283, 241, 613, 449, 253]",1,2,,,MYHM Singapore Championship 2024,2024-02-02,2.41,3.28
5685190,2,804083,149,303,Yiheng Wang (王艺衡),CN,MYHMSingaporeChampionship2024,pyram,2,a,2019WANY36,"[159, 574, 262, 149, 487]",3,1,,,MYHM Singapore Championship 2024,2024-02-02,1.49,3.03
5685116,2,804082,198,251,Yiheng Wang (王艺衡),CN,MYHMSingaporeChampionship2024,pyram,1,a,2019WANY36,"[244, 198, 258, 290, 251]",1,3,,,MYHM Singapore Championship 2024,2024-02-02,1.98,2.51
5685028,52,804074,1838,2599,Yiheng Wang (王艺衡),CN,MYHMSingaporeChampionship2024,333oh,1,a,2019WANY36,"[3714, 1838, 2580, 2948, 2270]",1,0,,,MYHM Singapore Championship 2024,2024-02-02,18.38,25.99
5684850,35,804064,9082,9398,Yiheng Wang (王艺衡),CN,MYHMSingaporeChampionship2024,555,1,a,2019WANY36,"[9522, 9547, 9082, 9125, 10619]",2,4,,,MYHM Singapore Championship 2024,2024-02-02,90.82,93.98
